arise;arose;Surgir/Levantarse;arisen;2
awake;awoke;despertarse;awoken;1
be/am/are/is;was/were;ser/estar;been;1
bear;bore;soportar/dar a luz;born/born;1
beat;beat;golpear;beaten;1
become;became;llegar a ser;become;1
begin;began;Empezar;begun;1
bend;bent;doblar;bent;1
bet;bet;apostar;bet;1
bind;bound;atar/encuadernar;bound;1
bid;bid;pujar;bid;1
bite;bit;morder;bitten;1
bleed;bled;sangrar;bled;1
blow;blew;soplar;blown;1
break;broke;romper;broken;1
breed;bred;criar;bred;2
bring;brought;traer/llevar;brought;1
broadcast;broadcast;radiar;broadcast;1
build;built;edificar;built;1
burn;burnt/burned;quemar;burnt/burned;1
burst;burst;reventar;burst;1
buy;bought;comprar;bought;1
cast;cast;arrojar;cast;1
catch;caught;coger;caught;1
come;came;venir;come;1
cost;cost;costar;cost;1
cut;cut;cortar;cut;1
choose;chose;elegir;chosen;1
cling;clung;agarrarse;clung;1
creep;crept;arrastrarse;crept;1
deal;dealt;tratar;dealt;1
dig;dug;cavar;dug;1
do/does;did;hacer;done;1
draw;drew;dibujar;drawn;1
dream;dreamt/dreamed;soñar;dreamt/dreamed;1
drink;drank;beber;drunk;1
drive;drove;conducir;driven;1
eat;ate;pujar;eaten;1
fall;fell;caer;fallen;1
feed;fed;alimentar;fed;2
feel;felt;sentir;felt;1
fight;fought;luchar;fought;1
find;found;encontrar;found;1
flee;fled;huir;fled;2
fly;flew;volar;flown;1
forbid;forbade;prohibir;forbidden;2
forget;forgot;olvidar;forgotten;1
forgive;forgave;perdonar;forgiven;1
freeze;froze;helar;frozen;1
get;got;obtener;got/gotten;1
give;gave;dar;given;1
go/goes;went;ir;gone;1
grow;grew;crecer;grown;1
grind;ground;moler;ground;2
hang;hung;colgar;hung;1
have;had;haber o tener;had;1
hear;heard;oir;heard;1
hide;hid;ocultar;hidden;1
hit;hit;golpear;hit;1
hold;held;agarrar/celebrar;held;1
hurt;hurt;herir;hurt;1
keep;kept;conservar;kept;1
know;knew;saber/conocer;known;1
kneel;knelt;arrodillarse;knelt;1
knit;knit;hacer punto;knit;2
lay;laid;poner;laid;1
lead;led;conducir;led;1
lean;leant;apoyarse;leant;2
leap;leapt;brincar;leapt;2
learn;learnt/learned;aprender;learnt/learned;1
leave;left;dejar;left;1
lend;lent;prestar;lent;1
let;let;permitir;let;1
lie;lay;echarse;lain;1
light;lit;encender;lit;2
lose;lost;perder;lost;1
make;made;hacer;made;1
mean;meant;significar;meant;1
meet;met;encontrar;met;1
mistake;mistook;equivocar;mistaken;2
overcome;overcome;vencer;overcome;2
pay;paid;pagar;paid;1
put;put;poner;put;1
read;read;leer;read;1
ride;rode;montar;ridden;1
ring;rang;llamar;rung;1
rise;rose;levantarse;risen;1
run;ran;correr;run;1
say;said;decir;said;1
see;saw;ver;seen;1
seek;sought;buscar;sought;2
sell;sold;vender;sold;1
send;sent;enviar;sent;1
set;set;poner(se);set;2
sew;sewed;coser;sewed/sewn;2
shake;shook;sacudir;shaken;2
shear;shook;esquilar;shaken;2
shine;shone;brillar;shone;2
shoot;shot;disparar;shot;2
show;showed;mostrar;shown;1
shrink;shrank;encogerse;shrunk;2
shut;shut;cerrar;shut;1
sing;sang;cantar;sung;1
sink;sank;hundir;sunk;2
sit;sat;sentarse;sat;1
sleep;slept;dormir;slept;1
slide;slid;resbalar;slid;2
smell;smelt;oler;smelt;2
sow;sowed;sembrar;sowed/sown;2
speak;spoke;hablar;spoken;1
speed;sped;acelerar;sped;2
spell;spelt;deletrear;spelt;2
spend;spent;gastar;spent;1
spill;split/spilled;derramar;split/spilled;2
spin;spun;hilar;spun;2
spit;spat;escupir;spat;2
split;split;hender/partir/rajar;split;2
spoil;spoilt/spoiled;estropear;spoilt/spoiled;2
spread;spread;extender;spread;2
spring;sprang;saltar;sprung;2
stand;stood;estar en pie;stood;1
steal;stole;robar;stolen;2
stick;stuck;pegar engomar;stuck;2
sting;stung;picar;stunk;2
stink;stank/stunk;apestar;stunk;2
stride;strode;dar zancadas;stridden;2
strike;struck;golpear;struck;2
swear;swore;jurar;sworn;2
sweat;sweat;sudar;sweat;2
sweep;swept;barrer;swept;2
swell;swelled;hinchar;swollen;2
swim;swam;nadar;swum;1
swing;swung;columpiarse;swung;2
take;took;coger;taken;1
teach;taught;enseñar;taught;1
tear;tore;rasgar;torn;1
tell;told;decir;told;1
think;thought;pensar;thought;1
throw;threw;arrojar/tirar;thrown;1
thrust;thrust;introducir;thrust;2
tread;trod;pisar/hollar;trodden;2
understand;understood;entender;understood;1
undergo;underwent;sufrir;undergone;2
undertake;undertook;emprender;undertaken;2
wake;woke;despertarse;woken;1
wear;wore;llevar puesto;worn;1
weave;wove;tejer;woven;2
weep;wept;llorar;wept;2
wet;wet;mojar;wet;2
win;won;ganar;won;1
wind;wound;enrollar;wound;2
withdraw;withdrew;retirarse;withdrawn;2
wring;wrung;torcer;wrung;2
write;wrote;escribir;written;1
waylay;waylaid;acechar;waylaid;3
vex;vexed/vext;vejar;vexed/vext;3
